example_id                                                                                 | status | run_time        |
------------------------------------------------------------------------------------------ | ------ | --------------- |
./spec/features/admin/admin_can_add_categories_spec.rb[1:1]                                | passed | 0.11578 seconds |
./spec/features/admin/admin_can_change_status_from_dashboard_spec.rb[1:1]                  | passed | 0.00147 seconds |
./spec/features/admin/admin_can_create_item_spec.rb[1:1]                                   | passed | 0.13161 seconds |
./spec/features/admin/admin_can_create_item_spec.rb[1:2]                                   | passed | 0.07571 seconds |
./spec/features/admin/admin_can_create_item_spec.rb[1:3]                                   | passed | 0.06306 seconds |
./spec/features/admin/admin_can_delete_category_spec.rb[1:1]                               | passed | 0.10703 seconds |
./spec/features/admin/admin_can_delete_category_spec.rb[1:2]                               | passed | 0.09716 seconds |
./spec/features/admin/admin_can_delete_items_spec.rb[1:1]                                  | passed | 0.11688 seconds |
./spec/features/admin/admin_can_delete_items_spec.rb[1:2]                                  | passed | 0.10133 seconds |
./spec/features/admin/admin_can_edit_category_spec.rb[1:1]                                 | passed | 0.06967 seconds |
./spec/features/admin/admin_can_edit_item_spec.rb[1:1]                                     | passed | 0.10345 seconds |
./spec/features/admin/admin_can_reset_password_spec.rb[1:1]                                | passed | 0.1735 seconds  |
./spec/features/admin/admin_can_reset_password_spec.rb[1:2]                                | passed | 0.12426 seconds |
./spec/features/admin/admin_can_view_all_items_spec.rb[1:1]                                | passed | 0.07064 seconds |
./spec/features/admin/admin_can_view_individual_order_spec.rb[1:1]                         | passed | 0.15018 seconds |
./spec/features/admin/admin_cannot_edit_users_spec.rb[1:1]                                 | passed | 0.13596 seconds |
./spec/features/admin/admin_cannot_edit_users_spec.rb[1:2]                                 | passed | 0.07371 seconds |
./spec/features/admin/admin_sees_dashboard_after_login_spec.rb[1:1:1]                      | passed | 0.06216 seconds |
./spec/features/authorization/authenticated_user_can_only_see_authorized_data_spec.rb[1:1] | passed | 0.17583 seconds |
./spec/features/authorization/authenticated_user_can_only_see_authorized_data_spec.rb[1:2] | passed | 0.1222 seconds  |
./spec/features/authorization/unregistered_user_authroization_spec.rb[1:1]                 | passed | 0.02247 seconds |
./spec/features/authorization/unregistered_user_authroization_spec.rb[1:2]                 | passed | 0.04395 seconds |
./spec/features/carts/cart_displays_correctly_when_empty_spec.rb[1:1:1]                    | passed | 0.0187 seconds  |
./spec/features/carts/cart_session_data_clears_after_placing_order_spec.rb[1:1:1]          | passed | 0.19463 seconds |
./spec/features/users/registered_user_can_add_address_from_dashboard_spec.rb[1:1]          | passed | 0.10419 seconds |
./spec/features/users/registered_user_can_add_address_from_dashboard_spec.rb[1:2]          | passed | 0.09525 seconds |
./spec/features/users/registered_user_can_destroy_address_spec.rb[1:1]                     | passed | 0.17352 seconds |
./spec/features/users/registered_user_can_edit_address_from_dashboard_spec.rb[1:1]         | passed | 0.1573 seconds  |
./spec/features/users/registered_user_can_edit_profile_spec.rb[1:1]                        | passed | 0.1066 seconds  |
./spec/features/users/registered_user_can_login_spec.rb[1:1]                               | passed | 0.05369 seconds |
./spec/features/users/registered_user_can_login_spec.rb[1:2]                               | passed | 0.04541 seconds |
./spec/features/users/registered_user_can_reset_password_spec.rb[1:1]                      | passed | 0.18545 seconds |
./spec/features/users/registered_user_can_reset_password_spec.rb[1:2]                      | passed | 0.10914 seconds |
./spec/features/users/registered_user_can_visit_dashboard_spec.rb[1:1:1]                   | passed | 0.0634 seconds  |
./spec/features/users/registered_user_can_visit_dashboard_spec.rb[1:2:1]                   | passed | 0.0134 seconds  |
./spec/features/users/user_can_checkout_with_items_spec.rb[1:1:1]                          | passed | 0.88021 seconds |
./spec/features/users/user_can_checkout_with_items_spec.rb[1:2:1]                          | passed | 0.4269 seconds  |
./spec/features/users/user_can_create_new_account_spec.rb[1:1]                             | passed | 0.12405 seconds |
